store_id,comp_price,income,advertising,population,price,shelf_loc,age,education,urban,us,high_sales
1,138,73,11,276,120,Bad,42,17,Yes,Yes,1
2,111,48,16,260,83,Good,65,10,Yes,Yes,1
3,113,35,10,269,80,Medium,59,12,Yes,Yes,1
4,117,100,4,466,97,Medium,55,14,Yes,Yes,0
5,141,64,3,340,128,Bad,38,13,Yes,No,0
6,124,113,13,501,72,Bad,78,16,No,Yes,1
7,115,105,0,45,108,Medium,71,15,Yes,No,0
8,136,81,15,425,120,Good,67,10,Yes,Yes,1
9,132,110,0,108,124,Medium,76,10,No,No,0
10,132,113,0,131,124,Medium,76,17,No,Yes,0
11,121,78,9,150,100,Bad,26,10,No,Yes,1
12,117,94,4,503,94,Good,50,13,Yes,Yes,1
13,122,35,2,393,136,Medium,62,18,Yes,No,0
14,115,28,11,29,86,Good,53,18,Yes,Yes,1
15,107,117,11,148,118,Good,52,18,Yes,Yes,1
16,149,95,5,400,144,Medium,76,18,No,No,1
17,118,32,0,284,110,Good,63,13,Yes,No,0
18,147,74,13,251,131,Good,52,10,Yes,Yes,1
19,110,110,0,408,68,Good,46,17,No,Yes,1
20,129,76,16,58,121,Medium,69,12,Yes,Yes,1
21,125,90,2,367,131,Medium,35,18,Yes,Yes,0
22,134,29,12,239,109,Good,62,18,No,Yes,1
23,128,46,6,497,138,Medium,42,13,Yes,No,0
24,121,31,0,292,109,Medium,79,10,Yes,No,0
25,145,119,16,294,113,Bad,42,12,Yes,Yes,1
26,139,32,0,176,82,Good,54,11,No,No,1
27,107,115,11,496,131,Good,50,11,No,Yes,1
28,98,118,0,19,107,Medium,64,17,Yes,No,0
29,103,74,0,359,97,Bad,55,11,Yes,Yes,0
30,104,99,15,226,102,Bad,58,17,Yes,Yes,0
31,125,94,0,447,89,Good,30,12,Yes,No,1
32,136,58,16,241,131,Medium,44,18,Yes,Yes,1
33,107,32,12,236,137,Good,64,10,No,Yes,0
34,114,38,13,317,128,Good,50,16,Yes,Yes,1
35,115,54,0,406,128,Medium,42,17,Yes,Yes,0
36,131,84,11,29,96,Medium,44,17,No,Yes,1
37,122,76,0,270,100,Good,60,18,No,No,1
38,121,41,5,412,110,Medium,54,10,Yes,Yes,0
39,109,73,0,454,102,Medium,65,15,Yes,No,0
40,130,60,0,144,138,Bad,38,10,No,No,0
41,119,98,0,18,126,Bad,73,17,No,No,0
42,157,53,0,403,124,Bad,58,16,Yes,No,0
43,77,69,0,25,24,Medium,50,18,Yes,No,1
44,123,42,11,16,134,Medium,59,13,Yes,Yes,0
45,85,79,6,325,95,Medium,69,13,Yes,Yes,0
46,141,63,0,168,135,Bad,44,12,Yes,Yes,0
47,127,90,14,16,70,Medium,48,15,No,Yes,1
48,126,98,0,173,108,Bad,55,16,Yes,No,0
49,116,52,0,349,98,Bad,69,18,Yes,No,0
50,157,93,0,51,149,Good,32,17,Yes,No,1
51,99,32,18,341,108,Bad,80,16,Yes,Yes,0
52,121,90,0,150,108,Bad,75,16,Yes,No,0
53,153,40,3,112,129,Bad,39,18,Yes,Yes,0
54,109,64,13,39,119,Medium,61,17,Yes,Yes,0
55,134,,13,25,144,Medium,76,17,No,Yes,0
56,143,81,5,60,154,Medium,61,18,Yes,Yes,0
57,133,82,0,54,84,Medium,50,17,Yes,No,1
58,93,91,0,22,117,Bad,75,11,Yes,No,0
59,103,93,15,188,103,Bad,74,16,Yes,Yes,0
60,118,71,4,148,114,Medium,80,13,Yes,No,0
61,122,102,19,469,123,Bad,29,13,Yes,Yes,1
62,105,32,0,358,107,Medium,26,13,No,No,0
63,139,45,0,146,133,Bad,77,17,Yes,Yes,0
64,119,88,10,170,101,Medium,61,13,Yes,Yes,1
65,100,67,12,184,104,Medium,32,16,No,Yes,0
66,122,26,0,197,128,Medium,55,13,No,No,0
67,127,92,0,508,91,Medium,56,18,Yes,No,1
68,126,61,14,152,115,Medium,47,16,Yes,Yes,1
69,149,69,20,366,134,Good,60,13,Yes,Yes,1
70,127,59,0,339,99,Medium,65,12,Yes,No,0
71,89,81,15,237,99,Good,74,12,Yes,Yes,1
72,148,51,16,148,150,Medium,58,17,No,Yes,0
73,115,45,0,432,116,Medium,25,15,Yes,No,0
74,118,90,10,54,104,Good,31,11,No,Yes,1
75,150,68,5,125,136,Medium,64,13,No,Yes,0
76,88,111,23,480,92,Bad,36,16,No,Yes,1
77,102,87,10,346,70,Medium,64,15,Yes,Yes,1
78,118,71,12,44,89,Medium,67,18,No,Yes,0
79,134,48,1,139,145,Medium,65,12,Yes,Yes,0
80,134,67,0,286,90,Bad,41,13,Yes,No,1
81,113,100,16,353,79,Bad,68,11,Yes,Yes,1
82,116,72,0,237,128,Good,70,13,Yes,No,0
83,151,83,4,325,139,Good,28,17,Yes,Yes,1
84,109,36,7,468,94,Bad,56,11,Yes,Yes,0
85,111,25,0,52,121,Bad,43,18,No,No,0
86,125,103,0,304,112,Medium,49,13,No,No,1
87,150,84,9,432,134,Medium,64,15,Yes,No,1
88,131,67,7,272,126,Good,54,16,No,Yes,1
89,117,42,7,144,111,Medium,62,10,Yes,Yes,0
90,128,66,3,493,119,Medium,45,16,No,No,0
91,115,22,0,491,103,Medium,64,11,No,No,0
92,97,46,11,267,107,Medium,80,15,Yes,Yes,0
93,114,113,0,97,125,Medium,29,12,Yes,No,0
94,145,30,0,67,104,Medium,55,17,Yes,No,1
95,115,97,5,134,84,Bad,55,11,Yes,Yes,1
96,134,25,10,237,148,Medium,59,13,Yes,Yes,0
97,147,42,10,407,132,Good,73,16,No,Yes,1
98,161,82,5,287,129,Bad,33,16,Yes,Yes,0
99,122,77,24,382,127,Good,36,16,No,Yes,1
100,121,47,3,220,107,Bad,56,16,No,Yes,0
101,113,69,11,94,106,Medium,76,12,No,Yes,0
102,128,93,0,89,118,Medium,34,18,Yes,No,0
103,113,22,0,57,97,Medium,65,16,No,No,0
104,123,91,0,334,96,Bad,78,17,Yes,Yes,0
105,121,96,0,472,138,Medium,51,12,Yes,No,0
106,104,100,8,398,97,Medium,61,11,Yes,Yes,0
107,102,33,0,217,139,Medium,70,18,No,No,0
108,134,107,0,104,108,Medium,60,12,Yes,No,1
109,107,79,2,488,103,Bad,65,16,Yes,No,0
110,115,65,0,217,90,Medium,60,17,No,No,1
111,128,62,7,125,116,Medium,43,14,Yes,Yes,1
112,132,118,12,272,151,Medium,43,14,Yes,Yes,0
113,116,99,5,298,125,Good,62,12,Yes,Yes,0
114,131,29,11,335,127,Bad,33,12,Yes,Yes,0
115,122,87,9,17,106,Medium,65,13,Yes,Yes,1
116,139,35,0,95,129,Medium,42,13,Yes,No,1
117,135,75,0,202,128,Medium,80,10,No,No,0
118,145,53,0,507,119,Medium,41,12,Yes,No,1
119,112,88,2,243,99,Medium,62,11,Yes,Yes,0
120,130,94,8,137,128,Medium,64,12,Yes,Yes,0
121,128,105,11,249,131,Medium,63,13,Yes,Yes,0
122,125,89,10,380,87,Bad,28,10,Yes,Yes,1
123,119,100,5,45,108,Medium,75,10,Yes,Yes,0
124,127,103,0,125,155,Good,29,15,No,Yes,1
125,131,113,0,181,120,Good,63,14,Yes,No,1
126,89,78,0,181,49,Medium,43,15,No,No,1
127,153,68,2,60,133,Good,59,16,Yes,Yes,1
128,125,48,3,192,116,Medium,51,14,Yes,Yes,0
129,133,100,3,350,126,Bad,55,13,Yes,Yes,0
130,143,120,7,279,147,Bad,40,10,No,Yes,0
131,94,84,13,497,77,Medium,51,12,Yes,Yes,1
132,108,69,3,208,94,Medium,77,16,Yes,No,0
133,,,,,,,,,,,
134,125,87,9,232,136,Good,72,10,Yes,Yes,1
135,132,98,2,265,97,Bad,62,12,Yes,Yes,0
136,132,31,0,327,131,Medium,76,16,Yes,No,0
